label,pattern,sublocation,count,country,interest_1,interest_2,indoor_outdoor,adjective,video_sentiment,comment_sentiment
FAC,masjid sultan,sultan mosque,,singapore,religion,,indoor,,,
FAC,maxwell food center,maxwell food centre,,singapore,food and drinks,,indoor,,,
FAC,maxwell food centre,maxwell food centre,,singapore,food and drinks,,indoor,,,
FAC,maxwell food court,maxwell food court,,,food and drinks,,indoor,,,
WORK_OF_ART,merlion,merlion,,singapore,art,architecture,outdoor,,,
FAC,merlion park,merlion park,,singapore,park,,outdoor,,,
GPE,middle island,middle island,,,nature,,outdoor,,,
FAC,midpoint orchard,midpoint orchard,,,shopping,,indoor,,,
FAC,millenia walk,millenia walk,,,shopping,,indoor,,,
FAC,mint museum of toys,mint museum of toys,,,museum,heritage,indoor,,,
FAC,mount emily park,mount emily park,,,park,,outdoor,,,
FAC,mount faber,mount faber,,,park,,outdoor,,,
FAC,mount faber park,mount faber park,,,park,,outdoor,,,
FAC,mrt,mrt,,singapore,transport,,indoor,,,
FAC,museum of ice cream,museum of ice cream,,,museum,,indoor,,,
FAC,mustafa shopping centre,mustafa shopping centre,,,shopping,,indoor,,,
FAC,myvillage at serangoon garden,myvillage at serangoon garden,,,shopping,,indoor,,,
FAC,national gallery,national gallery,,,museum,,indoor,,,
FAC,national gallery singapore,national gallery singapore,,,museum,,indoor,,,
FAC,national museum,national museum,,,museum,,indoor,,,
FAC,National Museum of Singapore,national museum,,,museum,,indoor,,,
FAC,national orchid garden,national orchid garden,,,park,nature,outdoor,,,
FAC,national stadium,national stadium,,,recreation,,outdoor,,,
FAC,nei xue tang museum,nei xue tang museum,,,museum,,indoor,,,
ORG,netspay,netspay,,,payment,,indoor,,,
FAC,newton food,newton food,,,food and drinks,,indoor,,,
FAC,newton hawker center,newton hawker centre,,singapore,food and drinks,,indoor,,,
FAC,newton hawker centre,newton hawker centre,,singapore,food and drinks,,indoor,,,
FAC,nex,nex,,,shopping,,indoor,,,
FAC,ngee ann city,ngee ann city,,,shopping,,indoor,,,
FAC,night safari,night safari,,,wildlife park,,outdoor,,,
WORK_OF_ART,night show,night show,,singapore,art,,outdoor,,,
FAC,northpoint city,northpoint city,,,shopping,,indoor,,,
FAC,northshore plaza,northshore plaza,,,shopping,,indoor,,,
FAC,nus museum,nus museum,,,museum,,indoor,,,
FAC,oasis terraces,oasis terraces,,,shopping,,indoor,,,
FAC,od mall,od mall,,,shopping,,indoor,,,
FAC,old hill police station,old hill police station,,,historic,architecture,outdoor,,,
GPE,old hill street,old hill street,,singapore,historic,architecture,outdoor,,,
FAC,one fullerton,one fullerton,,,recreation,,indoor,,,
FAC,one-north park,one-north park,,,park,,outdoor,,,
GPE,orchard,orchard,,singapore,shopping,,indoor,,,
FAC,orchard central,orchard central,,,shopping,,indoor,,,
FAC,orchard gateway,orchard gateway,,,shopping,,indoor,,,
FAC,orchard plaza,orchard plaza,,,shopping,,indoor,,,
FAC,orchid garden,orchid garden,,singapore,park,,outdoor,,,
FAC,our tampines hub,our tampines hub,,,shopping,recreation,indoor,,,
FAC,palais renaissance,palais renaissance,,,shopping,,indoor,,,
GPE,palawan beach,palawan beach,,,nature,,outdoor,,,
GPE,paradise island,paradise island,Central Region,—,nature,,outdoor,,,
FAC,parkview museum,parkview museum,,,museum,,indoor,,,
FAC,parkway parade,parkway parade,,,shopping,,indoor,,,
FAC,pasir ris park,pasir ris park,,,park,,outdoor,,,
FAC,pasir ris town park,pasir ris town park,,,park,,outdoor,,,
FAC,pasir ris west plaza,pasir ris west plaza,,,shopping,,indoor,,,
FAC,paya lebar quarter,paya lebar quarter,,,shopping,,indoor,,,
FAC,paya lebar square,paya lebar square,,,shopping,,indoor,,,
FAC,pearl hill city park,pearl hill city park,,,park,,outdoor,,,
GPE,pearl island,pearl island,Central Region,0.019,nature,,outdoor,,,
GPE,pedra branca,pedra branca,,,nature,,outdoor,,,
FAC,pelton canal,pelton canal,,,park,architecture,outdoor,,,
FAC,people park centre,people park centre,,,shopping,,indoor,,,
FAC,people park complex,people park complex,,,shopping,,indoor,,,
