id,url,handle,comment_count,comment
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@lackenziee
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@jcygirl21
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Liv Proctor
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@jessicadoyle7236
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@ffi
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@cynthia
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@WIN
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Cez
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,😁
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Janey Rani
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Charmayne Gail Licarte Lanzaderas @Kaye Louise
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@iqawalcott
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@qoobee
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@𝐂𝐡𝐞𝐫𝐫𝐲 ✿
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Jovenah
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@DodongHappy
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@meh
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Nguynph
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@gyoko hajime
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Insiah Riaz
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@pronto
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@Layal
0_cmt,https://www.tiktok.com/@montanadarby/video/7232388092764671258,montanadarby,208,@omo.kate
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,Im from singapore and i miss it sooo much and the food
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,I was there for 48hours and I needed more time!!!
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,Raffles looks so different to the rest of the city!
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,I love seeing everything about this country. I hope to visit soon
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,@jstumes singapore next
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,how long have you been there and what would you recommend?😊
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,It's so beautiful🥰
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,Love the hawkers!
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,"Are you there currently? If not, what time of year did you visit? TIA!"
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,🥰🥰
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,🥰
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,@Sophie
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,@nicole 🦋
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,@Arnaud
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,@Rj Sj2
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,@sophiechattertonmusi
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,😁😁
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,Would you say its „easy“ to get food poisoning from Hawkers center? Or is it not like street food?
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,Which restaurant at ce la vi did you get the dessert? There’s like 3 options?
1_cmt,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,trippingmillennial,31,the airport was so cool
