id,url,account_name,following_count,follower_count,total_like_count,date,href,handle,description,hashtag,like_count,bookmark_count,share_count,comment_count
339_post,https://www.tiktok.com/@kerrynlee/video/7227861962418375937,小欣 Kerryn Lee,298,28.2K,1M,2023-4-30,/@kerrynlee,kerrynlee,"How to get a local sim card in China as a foreigner🇨🇳 If you’re visiting China, save this video‼️You’re welcome😙 ","['tips', 'travel', 'china', 'beijing', 'fyp', 'chinatraveler', 'sgtravel', 'asia', 'hacks', 'singapore', 'sgfoodie', 'tiktoksg']",16.1K,7065,1089,174
340_post,https://www.tiktok.com/@alexgodevil/video/7254499168507399425,毒霸天下,9875,13.5K,310.7K,2d ago ,/@alexgodevil,alexgodevil, ,"['fyp', 'fypシ', 'fypシ゚viral', 'sgtiktok', 'sgnews', 'yishun', 'sembawang', 'mediacorp', 'school', 'childhood', 'childhoodmemories', 'memoriesbringback', 'memories', 'mediacorp', 'primaryschool', 'childhoodmemories', 'sgnewsupdate', '歌曲分享', '小时候', 'malaysia', '小时候', 'cna', 'fypage', 'tvb', 'mediacorp', 'channel5', 'channel8', '经典老歌', 'sgnews', 'sgtiktok', 'sg', 'sgfoodie', 'sgtt', 'mothershipsg', 'stomp', 'zaobaosg', 'shinmindailynews', 'memories', 'memoriesbringback', 'memoriesareforever', 'singapore', 'singaporetiktok', 'childhood', 'childhoodmemories', 'children', 'backtothepast', 'memoryunlocked', 'histroy', 'histroychannel', 'foryourpage', 'singaporeimagine', 'taiwan', 'ndp', 'sgtravel', 'airlinepilot', 'airlinetiktok', 'singaporetrending', 'jb', 'today', 'malaysia', '小时候', '歌曲分享', '长大', '中国']",1208,186,1162,110
341_post,https://www.tiktok.com/@goodmorlinn/video/7251591591327010055,Linne,69,32.8K,168.8K,2023-7-3,/@goodmorlinn,goodmorlinn,😓Ops hehe ,"['weekend', 'fyp', 'pov', 'foryoupage', 'foryou', 'fy', 'funny', 'cycling', 'exercise', 'fitness', 'satay', 'cyclist', 'nightride', 'dinner', 'singapore', 'fittok', 'foodie', 'foodtiktok', 'bicycle', 'bbq', 'gilrs', 'foodlover', 'travel', 'fypage', 'fitnessmotivation', 'sgtiktok']",6260,732,358,125
342_post,https://www.tiktok.com/@shenzhensg/video/7222700154619481345,强盛集团,7627,25.9K,465.2K,2023-4-16,/@shenzhensg,shenzhensg, ,"['panda', 'singapore', 'china', 'chinatikok', 'funny', 'meme', 'cute', 'cutes', 'lol', 'laugh', 'laughoutloud', 'travel', 'sichuan', 'shit']",13K,563,832,546
343_post,https://www.tiktok.com/@garyaroundtheglobe/video/7248459890966940933,Gary Around The Globe,16,290,10.2K,2023-6-25,/@garyaroundtheglobe,garyaroundtheglobe,Welcome to Singapore Changi Airport 🇸🇬😍 ,"['singapore', 'airport', 'changi', 'travel', 'amazing', 'waterfall', 'jewell', 'goexplore', 'roamtheplanet', 'postcardsfromtheworld']",9856,1288,1941,261
344_post,https://www.tiktok.com/@alexgodevil/video/7253372092039580930,毒霸天下,9875,13.5K,310.7K,5d ago ,/@alexgodevil,alexgodevil, ,"['fyp', 'fypシ', 'fypシ゚viral', 'sgtiktok', 'cinema', 'sgnews', 'mediacorp', 'school', 'childhood', 'childhoodmemories', 'memoriesbringback', 'memories', 'mediacorp', 'primaryschool', 'childhoodmemories', 'sgnewsupdate', '歌曲分享', '小时候', 'malaysia', '小时候', 'cna', 'fypage', 'tvb', 'mediacorp', 'channel5', 'channel8', '经典老歌', 'sgnews', 'sgtiktok', 'sg', 'sgfoodie', 'sgtt', 'mothershipsg', 'stomp', 'zaobaosg', 'shinmindailynews', 'memories', 'memoriesbringback', 'memoriesareforever', 'singapore', 'singaporetiktok', 'childhood', 'childhoodmemories', 'children', 'backtothepast', 'memoryunlocked', 'histroy', 'histroychannel', 'foryourpage', 'singaporeimagine', 'taiwan', 'ndp', 'sgtravel', 'airlinepilot', 'airlinetiktok', 'singaporetrending', 'jb', 'today', 'malaysia', '小时候', '歌曲分享', '长大', '中国']",876,123,905,108
345_post,https://www.tiktok.com/@ronaldtanss/video/7181076977426779394,Ronald Tan,360,573,20K,2022-12-25,/@ronaldtanss,ronaldtanss,Recommend places to go if you’re visiting beautiful Kyoto! There’re still many places to go in Kyoto which I have not explored yet. Please feel free to share your tips too for my future travel to Kyoto. One time is not enough to cover this beautiful place! ,"['kyoto', 'traveltiktok', 'travel', 'japantravel', 'kyototravel', 'traveltips', 'kyototravelguide', 'malaysianinsingapore', 'fushimiinarishrine', 'yasakashrine', 'kiyomizudera', 'bambooforest', 'nishikimarket', 'arashiyama_kyoto']",7751,6636,1002,67
346_post,https://www.tiktok.com/@chardbrazal_/video/7236365341117500677,Chard Brazal,37,6836,610K,2023-5-23,/@chardbrazal_,chardbrazal_,Bigay ko nalang kidney ko sayo. 😅 ,"['bornpinksingapore', 'blackpink', 'singapore', 'solotravel', 'foryou']",224.3K,13.3K,886,535
347_post,https://www.tiktok.com/@sg_yong/video/7220386557730032898,新加坡勇哥 🇸🇬,6,12.4K,111.1K,2023-4-10,/@sg_yong,sg_yong,The Place that you must visit in Singapore!! Explore the northeast🌴👒🎒,"['singapore', 'singaporelife', 'sgtiktok', 'sg', 'travel', 'park', 'landscape', 'family', 'sgnews', 'weekendvibes']",1622,348,1990,79
348_post,https://www.tiktok.com/@sg_yong/video/7231128219699760410,新加坡勇哥 🇸🇬,6,12.4K,111.1K,2023-5-9,/@sg_yong,sg_yong,Takashimaya used to be a cemetery??😱😱,"['sgtiktok', 'sgnews', 'sglife', 'fyp', 'orchardroad', 'sgtravel', 'singapore', 'fengshui']",1365,300,1217,86
349_post,https://www.tiktok.com/@dionwoo1/video/7187157217324436737,Sydney Experiences,251,1488,99.9K,2023-1-10,/@dionwoo1,dionwoo1,What you get in a ,"['singapore', 'singaporeairlines', 'singaporegirl', 'travelgram']",86.6K,2634,247,358
350_post,https://www.tiktok.com/@_charlenemay/video/7222866167160065326,Charlene May,444,15.6K,556.3K,2023-4-17,/@_charlenemay,_charlenemay,How to Spend Your First Day in Singapore! Singapore Day 1 Itinerary! 🇸🇬 ,"['singaporeitinerary', 'singaporetravel', 'singaporetravelguide', 'sgtravel', 'singaporetiktok']",88,35,5,0
351_post,https://www.tiktok.com/@jojoeatsallday/video/7248243002546638081,tanjoping,142,807,98K,2023-6-24,/@jojoeatsallday,jojoeatsallday,Try it before its goneeeee ,"['japfood', 'japfoodsg', 'foodfestontiktok', 'sgfoodie', 'fypシ', 'fyp', 'tiktoksg', 'sgfyp', 'singapore', 'exploresingapore', 'foodtiktok', 'foodietiktok', 'japanesefood', 'sgtravel', 'sgfoodhunt', 'bugis']",2481,859,481,27
352_post,https://www.tiktok.com/@herplanettravel/video/7098859249274473770,Her Planet,100,1891,33K,2022-5-17,/@herplanettravel,herplanettravel, ,"['singaporetravel', 'singapore', 'solotravel', 'solofemaletraveler', 'solotraveler', 'tiktoktravel', 'travel', 'travellife', 'travelbucketlist', 'traveltok']",149,66,7,4
353_post,https://www.tiktok.com/@esteban.andariego/video/7249502719415782661,Esteban || Andariego,39,402.1K,3M,2023-6-27,/@esteban.andariego,esteban.andariego,"El país de las leyes absurdas? Que opinas, estan bien puestas o no 👨🏻‍⚖️🇸🇬 ","['ecuador', 'travel', 'singapore', 'singapur', 'leyes']",26.9K,1722,1288,925
354_post,https://www.tiktok.com/@visit_singapore/video/7216250311210585345,Visit Singapore,22,1.5M,8.1M,2023-3-30,/@visit_singapore,visit_singapore,Need inspiration for your next trip to ,"['singapore%3F', 'mrt', 'visitsingapore', 'passionmadepossible', 'sgtiktok', 'traveltok']",10.9K,456,190,58
355_post,https://www.tiktok.com/@aisyahnh076/video/7239682113820282118,Aisyah | Work Life Balance✨,47,14.6K,646.2K,2023-6-1,/@aisyahnh076,aisyahnh076,"7 Tips Travelling ke Singapore, cocok banget buat kalian yang pertama kali mau ke luar negeri!! ","['tipstraveling', 'tipstravel', 'tipsliburan', 'tipsliburanmurah', 'tipsliburansingapura', 'tipsliburanhemat', 'tipsliburanaman', 'tipsholiday', 'liburancheck', 'liburanseru', 'liburanmurah', 'singaporetrip', 'singaporetrip2023', 'minivlogtravelling', 'vlogtravelling', 'minitravelvlog']",62.1K,52.1K,6433,760
356_post,https://www.tiktok.com/@mustsharenews/video/7157714070366424322,MustShareNews,114,192.4K,8.9M,2022-10-23,/@mustsharenews,mustsharenews,Travellers were seen pushing and shouting to get on an escalator 😢 ,"['singapore', 'mustsharenews', 'tiktoksg', 'sgnews']",17.5K,1295,12.7K,728
357_post,https://www.tiktok.com/@coach.jemempy/video/7143963365180755227,@coach.jemempy on IG ✨,224,1385,13.4K,2022-9-16,/@coach.jemempy,coach.jemempy,Revenge travel is real. Is Singapore one of your options? Watch this video to see how easy it is to go there! Comment if you have questions about traveling to SG ✈️ ,"['fyp', 'fypシ', 'singapore', 'travel', 'traveltips', 'travelhacks', 'sg', 'changi', 'jemsetter']",1418,794,308,96
358_post,https://www.tiktok.com/@certified_gmo/video/7243754928328445186,GMO on the GO,99,8921,237.2K,2023-6-12,/@certified_gmo,certified_gmo,"Thank you, Singapore. Very grateful to have the opportunity to live on the little red dot and the experiences that come with it, I haven’t taken it for granted. I came to Singapore in my 20’s never having been outside North America, I wasn’t sure what to expect. Upon arriving in SG I could quickly see how clean, efficient, and beautiful the city was. I wanted to learn and absorb as much as possible about the country and the culture of Singapore (I still remember walking into Peoples Park Hawker center on my 2nd day here, speechless). Since then, I have travelled to places I never thought I’d go to, met people from all over the world, and learned an immense amount from them (not to mention all the new varieties of food I’ve tried). Taking the risk and moving across the world wasn’t easy, and sometimes family and friends might not be supportive, but the experience and personal growth makes it all worth it. If anyone is thinking about experiencing life in another country, you should go for it! ","['singapore', 'singaporetiktok', 'singaporelife🇸🇬']",1496,69,54,259
359_post,https://www.tiktok.com/@onericeplease/video/7223357756814658834,🍚🥢,66,22.3K,943.2K,2023-4-18,/@onericeplease,onericeplease,Why pay a premium for pricey rooftop bars when you got this place! ,"['sgfoodie', 'sgnightlife', 'theotherside', 'singaporebars', 'sgtravel', 'sgfyp']",2308,1619,355,6
360_post,https://www.tiktok.com/@sakfood/video/7239309800490798354,Sak Food ăn gì chơi gì 🍔,754,13.5K,266.2K,2023-5-31,/@sakfood,sakfood,Ngày 2: Museum of Ice Cream - Universal Studios - QQ Noodles - Ah Chew Desserts 🎬 ,"['singapore', 'dulichsingapore', 'tiktoktravel', 'didauangi', 'vlog', 'review', 'fyp', 'universalstudios', 'dulich', 'xh']",2086,749,108,15
361_post,https://www.tiktok.com/@tessomewhere/video/7171209191430966529,Tess | Australia Travel,247,13.5K,295.5K,2022-11-28,/@tessomewhere,tessomewhere,5 must see’s for first timers in Singapore… plus bonus number 6 - Jewel at Changi Airport (first clip) ,"['singaporetravel', 'singaporetiktok', 'traveltok']",110,32,8,2
362_post,https://www.tiktok.com/@schaeremy/video/7201110465961872645,Jeremy,154,911,28.2K,2023-2-17,/@schaeremy,schaeremy,Your reminder to keep ticking things off your bucket list 🧳 ,"['fyp', 'lifestyle', 'foryou', 'travel', 'bucketlist', 'visitjordan', 'petra', 'singapore', 'visitthailand', 'visitisingapore', 'crewlife', 'traveltiktok', 'travelbucketlist', 'travelling', 'flightattendant', 'cabincrew']",20.9K,1895,128,161
363_post,https://www.tiktok.com/@halaltrip/video/7235924542948969730,HalalTrip,10,1167,18.2K,2023-5-22,/@halaltrip,halaltrip,Best Dim Sum for you to savour only at ,"['fyp', 'fy', 'explore', 'foodtok', 'foodie', 'dimsum', 'buffet', 'viral', 'tiktoktravel']",1899,748,780,17
364_post,https://www.tiktok.com/@rini.kid/video/7242545364212010245,rini.kid | IG: @ini_rini,46,2780,122.3K,2023-6-9,/@rini.kid,rini.kid,Replying to ,"['fyp', 'fypシ', 'klook', 'aplikasiklook', 'singtel', 'simcardregistration', 'simcardsingapore', 'singapore', 'singaporetravelguide', 'singaporesgp', 'sgtravelblogger', 'sgtravel', 'internetstabil', 'internetsingapore', 'jalanjalansingapore', 'liburansingapore', 'liburanhemat', 'singaporelife']",9393,8723,1210,171
365_post,https://www.tiktok.com/@mozzarellapapi/video/7202566567513607426,edo the mozzarellapapi,574,84.6K,3.4M,2023-2-21,/@mozzarellapapi,mozzarellapapi,Singapore I love your airport. But its still me vs the coffee here 😪🤌🏼,"['tiktoksg', 'singapore', 'sgfoodie', 'italian', 'italians', 'traveltiktok', 'dayinmylife']",3768,127,115,48
366_post,https://www.tiktok.com/@candidcuisine/video/7159459917269716225,candidcuisine,37,12.7K,638.6K,2022-10-28,/@candidcuisine,candidcuisine,"Disney LBX, James Cameron and Lightstorm Entertainment's Avatar Experience at Cloud Forest in Gardens by the Bay starts October 28. Expect 20-30 minutes waiting time for the interactive Banshee flight and the Fire Pod ","['tiktoksg', 'avatar', 'avatarwayofwater', 'gardensbythebay', 'traveltiktok', 'singapore', 'thingstodo']",240.7K,37.7K,3831,1906
367_post,https://www.tiktok.com/@kimisa26/video/7199805235441749250,kimisa26,18,200,13.4K,2023-2-14,/@kimisa26,kimisa26,Travelling with a toddler for 13h was more peaceful than expected! 🇨🇭 ,"['travel', 'traveltiktok', 'travelwithtoddlers', 'toddlersoftiktok', 'fyp', 'singaporeairlines', 'switzerland', 'zurich']",10.1K,232,39,34
368_post,https://www.tiktok.com/@niminthewild/video/7186523113503460610,nim | life in SG,303,1472,48.2K,2023-1-9,/@niminthewild,niminthewild,celebrating my first week living in sg 🇸🇬 ,"['travel', 'singapore', 'expat', 'vlog', 'sgtiktok', 'traveltok', 'fyp', 'sg', 'work', 'livingabroad']",1412,57,7,37
